STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DLY-CLDD-BASE45,DLY-CLDD-BASE45_ATTRIBUTES,DLY-CLDD-BASE50,DLY-CLDD-BASE50_ATTRIBUTES,DLY-CLDD-BASE55,DLY-CLDD-BASE55_ATTRIBUTES,DLY-CLDD-BASE57,DLY-CLDD-BASE57_ATTRIBUTES,DLY-CLDD-BASE60,DLY-CLDD-BASE60_ATTRIBUTES,DLY-CLDD-BASE70,DLY-CLDD-BASE70_ATTRIBUTES,DLY-CLDD-BASE72,DLY-CLDD-BASE72_ATTRIBUTES,DLY-CLDD-NORMAL,DLY-CLDD-NORMAL_ATTRIBUTES,DLY-DUTR-NORMAL,DLY-DUTR-NORMAL_ATTRIBUTES,DLY-DUTR-STDDEV,DLY-DUTR-STDDEV_ATTRIBUTES,DLY-GRDD-BASE40,DLY-GRDD-BASE40_ATTRIBUTES,DLY-GRDD-BASE45,DLY-GRDD-BASE45_ATTRIBUTES,DLY-GRDD-BASE50,DLY-GRDD-BASE50_ATTRIBUTES,DLY-GRDD-BASE55,DLY-GRDD-BASE55_ATTRIBUTES,DLY-GRDD-BASE57,DLY-GRDD-BASE57_ATTRIBUTES,DLY-GRDD-BASE60,DLY-GRDD-BASE60_ATTRIBUTES,DLY-GRDD-BASE65,DLY-GRDD-BASE65_ATTRIBUTES,DLY-GRDD-BASE70,DLY-GRDD-BASE70_ATTRIBUTES,DLY-GRDD-BASE72,DLY-GRDD-BASE72_ATTRIBUTES,DLY-GRDD-TB4886,DLY-GRDD-TB4886_ATTRIBUTES,DLY-GRDD-TB5086,DLY-GRDD-TB5086_ATTRIBUTES,DLY-HTDD-BASE40,DLY-HTDD-BASE40_ATTRIBUTES,DLY-HTDD-BASE45,DLY-HTDD-BASE45_ATTRIBUTES,DLY-HTDD-BASE50,DLY-HTDD-BASE50_ATTRIBUTES,DLY-HTDD-BASE55,DLY-HTDD-BASE55_ATTRIBUTES,DLY-HTDD-BASE57,DLY-HTDD-BASE57_ATTRIBUTES,DLY-HTDD-BASE60,DLY-HTDD-BASE60_ATTRIBUTES,DLY-HTDD-NORMAL,DLY-HTDD-NORMAL_ATTRIBUTES,DLY-TAVG-NORMAL,DLY-TAVG-NORMAL_ATTRIBUTES,DLY-TAVG-STDDEV,DLY-TAVG-STDDEV_ATTRIBUTES,DLY-TMAX-NORMAL,DLY-TMAX-NORMAL_ATTRIBUTES,DLY-TMAX-STDDEV,DLY-TMAX-STDDEV_ATTRIBUTES,DLY-TMIN-NORMAL,DLY-TMIN-NORMAL_ATTRIBUTES,DLY-TMIN-STDDEV,DLY-TMIN-STDDEV_ATTRIBUTES
USC00105414,31-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,209,R,103,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,16,R,21,R,26,R,31,R,33,R,36,R,41,R,242,R,85,R,346,R,63,R,137,R,126,R
USC00105414,1-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,212,R,104,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,16,R,21,R,26,R,31,R,33,R,36,R,41,R,243,R,85,R,348,R,63,R,137,R,126,R
USC00105414,2-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,214,R,104,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,16,R,21,R,26,R,31,R,33,R,36,R,41,R,244,R,84,R,351,R,63,R,137,R,125,R
USC00105414,3-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,216,R,104,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,15,R,20,R,25,R,30,R,32,R,35,R,40,R,245,R,84,R,353,R,63,R,137,R,125,R
USC00105414,4-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,218,R,104,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,15,R,20,R,25,R,30,R,32,R,35,R,40,R,246,R,84,R,356,R,63,R,137,R,124,R
USC00105414,5-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,220,R,104,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,15,R,20,R,25,R,30,R,32,R,35,R,40,R,248,R,83,R,358,R,63,R,138,R,123,R
USC00105414,6-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,223,R,105,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,15,R,20,R,25,R,30,R,32,R,35,R,40,R,249,R,83,R,361,R,64,R,138,R,123,R
USC00105414,7-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,225,R,105,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,15,R,20,R,25,R,30,R,32,R,35,R,40,R,251,R,82,R,363,R,64,R,139,R,122,R
USC00105414,8-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,226,R,105,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,15,R,20,R,25,R,30,R,32,R,35,R,40,R,252,R,82,R,366,R,64,R,139,R,121,R
USC00105414,9-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,228,R,105,R,-7777,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,-7777,R,-7777,R,15,R,20,R,25,R,30,R,32,R,35,R,40,R,254,R,81,R,368,R,65,R,140,R,120,R
